ts,price_close,price_mean,volume,ask_close,bid_close
1782858900,0.4900,0.4883,1157.94,0.4900,0.4800
1782858960,0.4900,0.4900,1448.01,0.4900,0.4800
1782859020,0.4900,0.4900,3276.23,0.4900,0.4800
1782859080,0.4900,0.4900,5533.18,0.4900,0.4800
1782859140,0.4900,0.4900,5178.39,0.4900,0.4800
1782859200,0.4900,0.4900,2708.11,0.4900,0.4800
1782859260,0.4900,0.4897,2666.47,0.4900,0.4800
1782859320,0.4900,0.4900,2560.27,0.4900,0.4800
1782859380,0.4900,0.4899,4569.65,0.4900,0.4800
1782859440,0.4900,0.4900,167.16,0.4900,0.4800
1782859500,0.4900,0.4900,1532.73,0.4900,0.4800
1782859560,0.4900,0.4900,2435.34,0.4900,0.4800
1782859620,0.4900,0.4900,1095.22,0.4900,0.4800
1782859680,0.4900,0.4900,601.84,0.4900,0.4800
1782859740,0.4900,0.4900,1863.56,0.4900,0.4800
1782859800,0.4900,0.4900,229.97,0.4900,0.4800
1782859860,0.4900,0.4900,126.89,0.4900,0.4800
1782859920,0.4900,0.4900,431.19,0.4900,0.4800
1782859980,0.4900,0.4900,1153.18,0.4900,0.4800
1782860040,0.4900,0.4900,721.74,0.4900,0.4800
1782860100,0.4900,0.4854,2575.17,0.4900,0.4800
1782860160,0.4900,0.4900,213.28,0.4900,0.4800
1782860220,0.4900,0.4900,3150.20,0.4900,0.4800
1782860280,0.4900,0.4900,15878.80,0.4900,0.4800
1782860340,0.4900,0.4900,4386.81,0.4900,0.4800
1782860400,0.4900,0.4900,1911.71,0.4900,0.4800
1782860460,0.5000,0.4971,10394.41,0.5000,0.4900
1782860520,0.5000,0.5000,3717.13,0.5000,0.4900
1782860580,0.5000,0.4999,2836.91,0.5000,0.4900
1782860640,0.5000,0.5000,2890.23,0.5000,0.4900
1782860700,0.5000,0.5000,2876.19,0.5000,0.4900
1782860760,0.4900,0.5000,7006.52,0.5000,0.4900
1782860820,0.5000,0.5000,1377.22,0.5000,0.4900
1782860880,0.5000,0.5000,4314.93,0.5000,0.4900
1782860940,0.5000,0.5000,939.16,0.5000,0.4900
1782861000,0.5000,0.4966,1677.25,0.5000,0.4900
1782861060,0.5000,0.5000,4236.26,0.5000,0.4900
1782861120,0.5000,0.5000,1224.03,0.5000,0.4900
1782861180,0.4900,0.4937,2490.15,0.4900,0.4800
1782861240,0.4700,0.4810,5230.51,0.4800,0.4700
1782861300,0.4700,0.4648,4523.55,0.4800,0.4600
1782861360,0.5800,0.5435,101516.20,0.5800,0.5700
1782861420,0.6300,0.5885,15701.65,0.6400,0.6300
1782861480,0.6800,0.6727,15827.36,0.6900,0.6800
1782861540,0.6900,0.6878,2694.01,0.6900,0.6800
1782861600,0.6900,0.6915,2237.79,0.7000,0.6900
1782861660,0.7000,0.6997,1521.59,0.7000,0.6900
1782861720,0.7100,0.7014,1675.89,0.7100,0.7000
1782861780,0.7100,0.7100,926.84,0.7100,0.7000
1782861840,0.7100,0.7100,1670.82,0.7200,0.7100
1782861900,0.8600,0.7953,7147.68,0.8600,0.8500
1782861960,0.8600,0.8575,11260.25,0.8600,0.8500
1782862020,0.8600,0.8593,3564.23,0.8700,0.8600
1782862080,0.8500,0.8586,3611.10,0.8600,0.8500
1782862140,0.8600,0.8569,1637.18,0.8600,0.8500
1782862200,0.8600,0.8553,1567.13,0.8600,0.8500
1782862260,0.8600,0.8496,4799.18,0.8600,0.8500
1782862320,0.8800,0.8695,1387.06,0.8800,0.8700
1782862380,0.8000,0.8392,7396.64,0.8000,0.7900
1782862440,0.8300,0.8254,7045.42,0.8400,0.8300
1782862500,0.8400,0.8325,249.11,0.8400,0.8300
1782862560,0.8300,0.8232,1044.82,0.8300,0.8200
1782862620,0.8400,0.8259,1194.10,0.8400,0.8300
1782862680,0.8300,0.8298,1605.60,0.8300,0.8200
1782862740,0.8300,0.8283,3457.12,0.8300,0.8200
1782862800,0.8300,0.8304,835.71,0.8300,0.8200
1782862860,0.8200,0.8249,532.50,0.8200,0.8100
1782862920,0.8100,0.8127,2024.11,0.8100,0.8000
1782862980,0.8100,0.8036,1695.94,0.8100,0.8000
1782863040,0.8000,0.7982,2694.66,0.8000,0.7900
1782863100,0.8100,0.8076,1290.58,0.8100,0.8000
1782863160,0.8200,0.8106,5935.02,0.8200,0.8100
1782863220,0.8200,0.8200,3888.98,0.8200,0.8100
1782863280,0.8200,0.8139,836.54,0.8300,0.8200
1782863340,0.8400,0.8398,2542.22,0.8400,0.8300
1782863400,0.8400,0.8372,390.53,0.8400,0.8300
1782863460,0.8600,0.8501,2031.63,0.8600,0.8500
1782863520,0.8600,0.8475,535.95,0.8600,0.8500
1782863580,0.9100,0.8713,3979.69,0.9100,0.9000
1782863640,0.9300,0.9220,3694.75,0.9400,0.9200
1782863700,0.9100,0.9230,4544.21,0.9200,0.9100
1782863760,0.9200,0.9176,2515.47,0.9200,0.9100
1782863820,0.9200,0.9129,2121.92,0.9200,0.9100
1782863880,0.9200,0.9104,21820.97,0.9200,0.9100
1782863940,0.9200,0.9200,250.70,0.9200,0.9100
1782864000,0.9200,0.9189,880.32,0.9200,0.9100
1782864060,0.9200,0.9161,183.72,0.9200,0.9100
1782864120,0.9300,0.9130,1369.14,0.9300,0.9200
1782864180,0.9200,0.9183,463.84,0.9300,0.9200
1782864240,0.9200,0.9343,253.96,0.9400,0.9300
1782864300,0.9400,0.9397,4067.78,0.9400,0.9300
1782864360,0.9400,0.9397,20353.95,0.9400,0.9300
1782864420,0.9400,0.9390,3144.78,0.9400,0.9300
1782864480,0.9400,0.9400,361.65,0.9400,0.9300
1782864540,0.9300,0.9289,620.71,0.9300,0.9200
1782864600,0.9400,0.9302,6782.30,0.9400,0.9200
1782864660,0.9400,0.9400,1907.10,0.9400,0.9300
1782864720,0.9400,0.9385,1398.95,0.9400,0.9300
1782864780,0.9300,0.9372,4416.29,0.9300,0.9200
1782864840,0.9300,0.9204,234.71,0.9300,0.9100
1782864900,0.9300,0.9299,654.73,0.9300,0.9200
1782864960,0.9300,0.9255,868.77,0.9300,0.9200
1782865020,0.9300,0.9298,1334.46,0.9300,0.9200
1782865080,0.9300,0.9211,1197.59,0.9400,0.9300
1782865140,0.9300,0.9315,938.14,0.9400,0.9300
1782865200,0.9500,0.9403,1383.21,0.9500,0.9300
1782865260,0.9500,0.9422,106.77,0.9500,0.9300
1782865320,0.9300,0.9372,375.97,0.9500,0.9300
1782865380,0.9400,0.9338,517.79,0.9500,0.9400
1782865440,0.9500,0.9404,169.66,0.9500,0.9400
1782865500,0.9400,0.9411,1193.33,0.9500,0.9400
1782865560,0.9500,0.9469,338.51,0.9500,0.9400
1782865620,0.9500,0.9497,4754.72,0.9600,0.9500
1782865680,0.9500,0.9500,1162.87,0.9600,0.9500
1782865740,0.9600,0.9552,52.43,0.9600,0.9500
1782865800,0.9500,0.9485,1566.86,0.9600,0.9400
1782865860,0.9300,0.9378,224.25,0.9400,0.9300
1782865920,0.9400,0.9409,126.89,0.9400,0.9300
1782865980,0.9400,0.9426,419.74,0.9400,0.9300
1782866040,0.9400,0.9394,1617.40,0.9400,0.9300
1782866100,0.9400,0.9369,94.81,0.9400,0.9300
1782866160,0.9500,0.9361,605.91,0.9500,0.9400
