ts,price_close,price_mean,volume,ask_close,bid_close
1782858960,0.1400,0.1400,337.00,0.1500,0.1400
1782859020,0.1400,0.1400,0.00,0.1500,0.1400
1782859080,0.1400,0.1400,0.00,0.1500,0.1400
1782859140,0.1400,0.1400,0.00,0.1500,0.1400
1782859200,0.1400,0.1400,0.00,0.1500,0.1400
1782859320,0.1400,0.1400,0.00,0.1500,0.1400
1782859380,0.1400,0.1400,0.00,0.1500,0.1400
1782859440,0.1400,0.1400,0.00,0.1500,0.1400
1782859500,0.1500,0.1500,45.00,0.1500,0.1400
1782859560,0.1500,0.1500,0.00,0.1500,0.1400
1782859620,0.1500,0.1500,0.00,0.1500,0.1400
1782859680,0.1500,0.1500,0.00,0.1500,0.1400
1782859740,0.1500,0.1500,0.00,0.1500,0.1400
1782859800,0.1500,0.1500,0.00,0.1500,0.1400
1782859860,0.1500,0.1500,0.00,0.1500,0.1400
1782859920,0.1500,0.1500,0.00,0.1500,0.1400
1782859980,0.1500,0.1500,0.00,0.1500,0.1400
1782860160,0.1500,0.1500,0.00,0.1500,0.1400
1782860340,0.1500,0.1500,0.00,0.1500,0.1400
1782860460,0.1500,0.1500,0.00,0.1500,0.1400
1782860520,0.1400,0.1443,141.00,0.1500,0.1400
1782860580,0.1400,0.1400,0.00,0.1500,0.1400
1782860640,0.1400,0.1400,0.00,0.1500,0.1400
1782860700,0.1400,0.1400,0.00,0.1500,0.1400
1782860760,0.1700,0.1658,56.98,0.1600,0.1400
1782860820,0.1700,0.1700,0.00,0.1700,0.1300
1782860880,0.1700,0.1700,53.00,0.1700,0.1300
1782860940,0.1700,0.1700,0.00,0.1700,0.1300
1782861000,0.1700,0.1700,0.00,0.1700,0.1300
1782861060,0.1300,0.1300,25.00,0.1700,0.1300
1782861120,0.1600,0.1485,130.00,0.1600,0.1500
1782861180,0.1600,0.1600,0.00,0.1600,0.1400
1782861240,0.1600,0.1600,0.00,0.1600,0.1400
1782861300,0.1600,0.1600,0.00,0.1700,0.1300
1782861360,0.1900,0.1870,267.00,0.2100,0.1900
1782861420,0.2300,0.2300,12.53,0.2400,0.1900
1782861480,0.2400,0.2400,61.00,0.2700,0.2500
1782861540,0.2400,0.2400,0.00,0.2700,0.2600
1782861600,0.2700,0.2700,1.00,0.2800,0.2700
1782861660,0.2700,0.2750,1600.00,0.3400,0.2600
1782861720,0.2700,0.2700,0.00,0.2800,0.2600
1782861780,0.2700,0.2700,0.00,0.2800,0.2700
1782861840,0.2700,0.2700,0.00,0.2800,0.2700
1782861900,0.4500,0.4138,916.88,0.4500,0.4300
1782861960,0.4900,0.4387,7889.41,0.4600,0.4500
1782862020,0.4800,0.4537,1094.71,0.4800,0.4600
1782862080,0.4500,0.4560,911.44,0.4500,0.4400
1782862140,0.4500,0.4402,23896.47,0.4500,0.4400
1782862200,0.4500,0.4500,117.18,0.4800,0.4300
1782862260,0.4300,0.4568,1426.20,0.4300,0.4200
1782862320,0.4000,0.4068,940.58,0.4200,0.4000
1782862380,0.5100,0.4547,470.16,0.5100,0.4900
1782862440,0.5100,0.5266,2752.95,0.5100,0.5000
1782862500,0.5100,0.5085,8373.68,0.5100,0.5000
1782862560,0.5000,0.5042,1625.98,0.5100,0.5000
1782862620,0.4900,0.5059,2873.00,0.5100,0.4900
1782862680,0.5000,0.5027,170.42,0.5100,0.5000
1782862740,0.4700,0.4937,2466.64,0.4800,0.4700
1782862800,0.4800,0.4720,525.33,0.4800,0.4700
1782862860,0.4600,0.4862,825.20,0.4800,0.4700
1782862920,0.4500,0.4565,405.25,0.4600,0.4500
1782862980,0.4500,0.4532,1805.00,0.4600,0.4500
1782863040,0.4500,0.4500,1912.74,0.4600,0.4500
1782863100,0.4400,0.4406,1603.63,0.4600,0.4300
1782863160,0.4400,0.4400,3770.78,0.4400,0.4300
1782863220,0.4300,0.4300,87.00,0.4300,0.4200
1782863280,0.4300,0.4236,572.00,0.4700,0.4100
1782863340,0.4200,0.4122,207.72,0.4200,0.4100
1782863400,0.4100,0.4100,370.00,0.4200,0.4100
1782863460,0.4400,0.4372,88.23,0.4600,0.4500
1782863520,0.4500,0.4502,3313.86,0.4200,0.4100
1782863580,0.5800,0.5580,604.00,0.6000,0.5900
1782863640,0.6200,0.6040,349.94,0.6400,0.6100
1782863700,0.6000,0.6020,321.92,0.6000,0.5900
1782863760,0.5900,0.5986,1146.36,0.6400,0.6000
1782863820,0.6000,0.6000,30.21,0.6000,0.5900
1782863880,0.5900,0.5900,58.55,0.6000,0.5900
1782863940,0.5800,0.5998,2301.00,0.6000,0.5800
1782864000,0.5800,0.5800,0.00,0.6400,0.5700
1782864060,0.5800,0.5800,0.00,0.6400,0.5700
1782864120,0.5700,0.5702,191.62,0.5700,0.5600
1782864180,0.5800,0.5724,97.56,0.5800,0.5600
1782864240,0.5600,0.5600,26.43,0.5700,0.5600
1782864300,0.5600,0.5504,518.36,0.5600,0.5500
1782864360,0.5600,0.5600,205.57,0.5600,0.5500
1782864420,0.5600,0.5586,399.17,0.5600,0.5500
1782864480,0.5300,0.5315,1777.69,0.5400,0.5300
1782864540,0.5300,0.5300,9694.95,0.5400,0.5300
1782864600,0.5500,0.5415,990.23,0.6200,0.5400
1782864660,0.5600,0.5429,11397.39,0.5600,0.5500
1782864720,0.5800,0.5706,77.00,0.5700,0.5600
1782864780,0.5400,0.5427,77.00,0.5400,0.5300
1782864840,0.5500,0.5436,27.94,0.6400,0.5400
1782864900,0.5200,0.5242,737.05,0.5300,0.5200
1782864960,0.5200,0.5237,97.00,0.5300,0.5200
1782865020,0.5200,0.5269,656.00,0.5200,0.5100
1782865080,0.5100,0.5168,221.08,0.5000,0.4900
1782865140,0.5000,0.4954,94.00,0.4900,0.4800
1782865200,0.4700,0.4792,63.87,0.4800,0.4700
1782865260,0.4800,0.4806,4403.66,0.4900,0.4800
1782865320,0.4800,0.4885,847.05,0.4800,0.4700
1782865380,0.4700,0.4700,671.53,0.4800,0.4700
1782865440,0.4700,0.4700,591.80,0.4800,0.4700
1782865500,0.4800,0.4800,28.14,0.4700,0.4600
1782865560,0.4600,0.4696,846.00,0.5500,0.4600
1782865620,0.5500,0.5391,1678.00,0.5500,0.5400
1782865680,0.5500,0.5496,3193.63,0.5500,0.5400
1782865740,0.5500,0.5500,7684.94,0.5600,0.5400
1782865800,0.5000,0.5000,117.30,0.5900,0.4800
1782865860,0.4500,0.4505,297.70,0.4600,0.4500
1782865920,0.4400,0.4402,1336.00,0.4500,0.4400
1782865980,0.4400,0.4400,4.71,0.4200,0.4100
1782866040,0.4100,0.4100,933.95,0.4200,0.4100
1782866100,0.4100,0.4100,1936.00,0.4200,0.4100
1782866160,0.4000,0.4269,297.53,0.3600,0.3500
1782866220,0.3900,0.3661,163.00,0.3900,0.3800
1782866280,0.3700,0.3732,1115.17,0.3900,0.3500
1782866340,0.3500,0.3597,191.17,0.3600,0.3500
1782866400,0.3500,0.3500,28.14,0.3600,0.3500
1782866460,0.3500,0.3544,4046.93,0.3600,0.3400
1782866520,0.3500,0.3500,0.00,0.3800,0.3600
1782866580,0.3900,0.3774,276.00,0.4000,0.3900
1782866640,0.7800,0.5702,2654.74,0.6700,0.6400
1782866700,0.7900,0.7584,763.79,0.8000,0.7900
1782866760,0.7800,0.7821,1157.38,0.7900,0.7600
1782866820,0.7700,0.7700,78.20,0.7700,0.7600
1782866880,0.7700,0.7700,0.00,0.7700,0.7500
1782866940,0.7700,0.7700,0.00,0.7400,0.7300
1782867060,0.7500,0.7500,167.56,0.7400,0.7300
1782867120,0.7500,0.7500,0.00,0.7800,0.7700
1782867180,0.7500,0.7500,0.00,0.7800,0.7200
1782867240,0.8600,0.8577,450.61,0.8600,0.8500
1782867300,0.8600,0.8698,1038.62,0.8400,0.8300
1782867360,0.8900,0.8048,1004.00,0.8800,0.8400
1782867420,0.8500,0.8548,337.52,0.8700,0.8400
1782867480,0.8500,0.8507,178.94,0.8400,0.8200
1782867540,0.8200,0.8200,5.00,0.8400,0.8200
1782867600,0.8400,0.8275,1243.86,0.8400,0.8200
1782867660,0.8400,0.8400,56.53,0.8500,0.8100
1782867720,0.8400,0.8400,0.00,0.8400,0.8200
1782867780,0.8200,0.8200,640.45,0.8400,0.8200
1782867840,0.8200,0.8200,0.00,0.9100,0.8000
1782867900,0.8000,0.8000,7.16,0.8000,0.7800
1782867960,0.8000,0.8000,750.00,0.8000,0.7800
1782868020,0.8000,0.8000,8.00,0.8000,0.7800
1782868080,0.7800,0.7800,86.20,0.8000,0.7800
1782868200,0.7900,0.7900,1.00,0.9100,0.7900
1782868260,0.7600,0.7702,322.25,0.7800,0.7700
1782868320,0.7600,0.7600,0.00,0.8900,0.7500
1782868380,0.7700,0.7600,40.00,0.7900,0.7700
1782868440,0.7600,0.7600,56.98,0.7800,0.7600
1782868500,0.7700,0.7700,20.00,0.7500,0.7400
1782868560,0.7400,0.7400,1.00,0.7400,0.7200
1782868620,0.7400,0.7400,77.00,0.6900,0.6800
1782868680,0.6800,0.6800,529.03,0.6900,0.6800
1782868740,0.6900,0.6823,370.20,0.7100,0.6800
1782868800,0.6900,0.6900,18.00,0.7100,0.7000
1782868860,0.6600,0.6606,2138.00,0.6500,0.6400
1782868920,0.6200,0.6217,68.90,0.6300,0.6200
1782868980,0.6000,0.6002,15351.23,0.6100,0.5900
1782869040,0.6000,0.6007,3630.24,0.6100,0.6000
1782869100,0.6000,0.6011,843.58,0.6200,0.6100
1782869160,0.5800,0.5881,3185.96,0.5800,0.5700
1782869220,0.5500,0.5614,6825.74,0.5500,0.5400
1782869280,0.5100,0.5501,1670.83,0.5100,0.5000
1782869340,0.5000,0.4897,9402.62,0.6100,0.5100
1782869400,0.4700,0.4824,1012.70,0.5000,0.4900
1782869460,0.4600,0.4700,2242.40,0.4700,0.4600
1782869520,0.4800,0.4707,11691.52,0.4800,0.4600
1782869580,0.4700,0.4756,3138.22,0.4800,0.4700
1782869640,0.5600,0.4668,2913.10,0.5400,0.3900
1782869700,0.6500,0.5608,4727.04,0.7500,0.6500
1782869760,0.8200,0.6962,6502.28,0.8100,0.6000
1782869820,0.2900,0.3962,5916.75,0.2900,0.2800
1782869880,0.2800,0.2865,5337.55,0.2900,0.2800
1782869940,0.2900,0.2876,2426.50,0.2900,0.2800
1782870000,0.1600,0.2067,11477.87,0.1700,0.1600
1782870060,0.1900,0.1845,1114.31,0.1900,0.1800
1782870120,0.2500,0.2417,414.79,0.2500,0.2400
1782870180,0.1200,0.1539,1803.01,0.2500,0.1300
1782870240,0.9900,0.9182,10195.05,1.0000,0.9900
1782870300,0.9900,0.9900,2687.48,1.0000,0.9900
1782870360,0.9900,0.9900,399.71,1.0000,0.9900
1782870420,0.9900,0.9900,2833.10,1.0000,0.9900
1782870480,0.9900,0.9900,334.42,1.0000,0.9900
1782870540,0.9900,0.9900,47.00,1.0000,0.9900
1782870600,0.9900,0.9900,85.49,1.0000,0.9900
1782870660,0.9900,0.9900,190.19,1.0000,0.9900
1782870840,0.9900,0.9900,0.00,1.0000,0.9900
