ts,price_close,price_mean,volume,ask_close,bid_close
1782868200,0.6300,0.6384,429.90,0.6400,0.6300
1782868260,0.6400,0.6400,2044.36,0.6400,0.6300
1782868320,0.6400,0.6397,35.28,0.6400,0.6300
1782868380,0.6400,0.6400,388.62,0.6400,0.6300
1782868440,0.6400,0.6330,367.68,0.6400,0.6300
1782868500,0.6400,0.6371,97.04,0.6400,0.6300
1782868560,0.6400,0.6400,74.88,0.6400,0.6300
1782868620,0.6400,0.6390,223.36,0.6400,0.6300
1782868680,0.6400,0.6400,176.79,0.6400,0.6300
1782868740,0.6400,0.6400,348.59,0.6400,0.6300
1782868800,0.6400,0.6400,178.72,0.6400,0.6300
1782868860,0.6400,0.6400,541.52,0.6400,0.6300
1782868920,0.6400,0.6400,742.18,0.6400,0.6300
1782868980,0.6400,0.6400,2167.60,0.6400,0.6300
1782869040,0.6400,0.6400,439.29,0.6400,0.6300
1782869100,0.6400,0.6382,419.08,0.6400,0.6300
1782869160,0.6400,0.6400,1157.77,0.6400,0.6300
1782869220,0.6400,0.6400,1582.10,0.6400,0.6300
1782869280,0.6400,0.6400,3499.38,0.6400,0.6300
1782869340,0.6400,0.6400,1222.48,0.6400,0.6300
1782869400,0.6400,0.6400,1218.96,0.6400,0.6300
1782869460,0.6400,0.6400,2544.76,0.6400,0.6300
1782869520,0.6400,0.6400,1264.10,0.6400,0.6300
1782869580,0.6400,0.6400,629.15,0.6400,0.6300
1782869640,0.6400,0.6400,206.92,0.6400,0.6300
1782869700,0.6400,0.6400,237.71,0.6400,0.6300
1782869760,0.6400,0.6400,1333.56,0.6400,0.6300
1782869820,0.6400,0.6400,944.92,0.6400,0.6300
1782869880,0.6400,0.6400,516.96,0.6400,0.6300
1782869940,0.6400,0.6400,806.93,0.6400,0.6300
1782870000,0.6400,0.6400,19190.99,0.6400,0.6300
1782870060,0.6400,0.6400,636.29,0.6400,0.6300
1782870120,0.6400,0.6404,1029.10,0.6400,0.6300
1782870180,0.6500,0.6446,3130.44,0.6500,0.6400
1782870240,0.6400,0.6403,3379.42,0.6600,0.6500
1782870300,0.6600,0.6600,6632.61,0.6600,0.6500
1782870360,0.6500,0.6594,2425.22,0.6500,0.6400
1782870420,0.6500,0.6523,822.91,0.6500,0.6400
1782870480,0.6600,0.6542,1051.43,0.6600,0.6500
1782870540,0.6700,0.6581,159.46,0.6700,0.6600
1782870600,0.6700,0.6700,779.27,0.6700,0.6600
1782870660,0.6700,0.6700,1043.41,0.6700,0.6600
1782870720,0.6800,0.6708,4686.91,0.6800,0.6700
1782870780,0.6800,0.6610,1378.61,0.6800,0.6700
1782870840,0.6800,0.6751,2091.56,0.6800,0.6700
1782870900,0.6900,0.6736,4118.79,0.6900,0.6800
1782870960,0.6800,0.6872,254.66,0.6800,0.6700
1782871020,0.7100,0.7061,794.53,0.7100,0.7000
1782871080,0.6900,0.6992,1411.05,0.7000,0.6900
1782871140,0.6700,0.6959,1165.85,0.6700,0.6600
1782871200,0.6600,0.6700,40336.14,0.6700,0.6600
1782871260,0.6200,0.6499,4764.77,0.6200,0.6100
1782871320,0.6200,0.6177,2939.50,0.6200,0.6100
1782871380,0.6300,0.6274,2952.30,0.6300,0.6200
1782871440,0.6000,0.6226,1335.39,0.5900,0.5800
1782871500,0.5800,0.5833,11641.81,0.5800,0.5700
1782871560,0.6100,0.5976,1977.92,0.6100,0.6000
1782871620,0.6400,0.6316,862.92,0.6400,0.6300
1782871680,0.6500,0.6495,14066.92,0.6600,0.6500
1782871740,0.6600,0.6600,2173.41,0.6600,0.6500
1782871800,0.6600,0.6573,3756.58,0.6600,0.6500
1782871860,0.6600,0.6506,1762.12,0.6600,0.6500
1782871920,0.6500,0.6472,3624.48,0.6500,0.6400
1782871980,0.6700,0.6697,1484.98,0.6700,0.6600
1782872040,0.6500,0.6635,3189.15,0.6600,0.6500
1782872100,0.6200,0.6370,1185.70,0.6300,0.6200
1782872160,0.6300,0.6384,1026.67,0.6300,0.6200
1782872220,0.6200,0.6245,6787.04,0.6200,0.6100
1782872280,0.6200,0.6171,2269.94,0.6200,0.6100
1782872340,0.6200,0.6200,1393.18,0.6200,0.6100
1782872400,0.6400,0.6299,6111.32,0.6400,0.6300
1782872460,0.6500,0.6401,3761.44,0.6500,0.6400
1782872520,0.6400,0.6487,2628.74,0.6400,0.6300
1782872580,0.6400,0.6411,2864.14,0.6400,0.6300
1782872640,0.6400,0.6400,1696.71,0.6400,0.6300
1782872700,0.6500,0.6438,605.50,0.6400,0.6300
1782872760,0.6600,0.6550,1046.78,0.6600,0.6500
1782872820,0.6600,0.6535,2228.88,0.6600,0.6500
1782872880,0.6600,0.6600,9253.43,0.6600,0.6500
1782872940,0.6600,0.6595,2868.14,0.6600,0.6400
1782873000,0.6600,0.6570,9058.25,0.6600,0.6500
1782873060,0.6600,0.6606,3845.53,0.6600,0.6500
1782873120,0.6700,0.6602,4197.92,0.6700,0.6600
1782873180,0.6300,0.6462,6643.93,0.6600,0.6300
1782873240,0.6200,0.6262,7382.90,0.6200,0.6100
1782873300,0.6100,0.6128,7128.73,0.6100,0.6000
1782873360,0.6100,0.6099,9956.52,0.6100,0.6000
1782873420,0.6300,0.6264,32425.92,0.6300,0.6200
1782873480,0.6300,0.6294,3998.33,0.6300,0.6200
1782873540,0.6500,0.6464,13133.17,0.6500,0.6400
1782873600,0.6600,0.6578,3104.75,0.6600,0.6500
1782873660,0.6600,0.6583,6624.91,0.6600,0.6500
1782873720,0.6500,0.6573,4131.48,0.6500,0.6400
1782873780,0.6400,0.6587,3319.30,0.6400,0.6300
1782873840,0.6200,0.6440,5934.76,0.6200,0.6100
1782873900,0.6200,0.6263,6512.67,0.6200,0.6100
1782873960,0.6000,0.6036,9211.41,0.6000,0.5900
1782874020,0.6000,0.5984,14529.98,0.6000,0.5900
1782874080,0.5900,0.5996,10636.87,0.5900,0.5800
1782874140,0.5300,0.5641,17645.91,0.5300,0.5200
1782874200,0.5300,0.5200,22551.43,0.5300,0.5200
1782874260,0.5300,0.5300,35412.15,0.5300,0.5200
1782874320,0.4700,0.4722,49497.76,0.4700,0.4600
1782874380,0.5400,0.4809,14407.51,0.5400,0.5300
1782874440,0.5300,0.5210,149901.68,0.5300,0.5200
1782874500,0.5300,0.5226,46437.37,0.5300,0.5200
1782874560,0.5700,0.5645,51078.42,0.5700,0.5600
1782874620,0.6100,0.5973,103489.07,0.6100,0.6000
1782874680,0.6100,0.6099,41955.02,0.6100,0.6000
1782874740,0.6100,0.6090,10178.57,0.6100,0.6000
1782874800,0.6400,0.6560,49077.26,0.6400,0.6300
1782874860,0.6300,0.6378,12494.82,0.6400,0.6300
1782874920,0.5900,0.6094,9267.17,0.5900,0.5800
1782874980,0.5600,0.5939,12748.40,0.5600,0.5500
1782875040,0.5700,0.5687,17488.59,0.5800,0.5700
1782875100,0.5600,0.5603,8418.07,0.5600,0.5500
1782875160,0.5600,0.5597,12987.47,0.5600,0.5500
1782875220,0.5500,0.5489,15531.99,0.5500,0.5400
1782875280,0.5500,0.5502,389825.97,0.5500,0.5400
1782875340,0.5700,0.5545,11684.52,0.5600,0.5500
1782875400,0.5800,0.5604,8259.49,0.5800,0.5700
1782875460,0.5900,0.5892,8978.13,0.5900,0.5800
1782875520,0.6100,0.5926,5166.38,0.6100,0.6000
1782875580,0.6300,0.6143,7325.24,0.6300,0.6200
1782875640,0.6300,0.6299,28714.24,0.6300,0.6200
1782875700,0.6300,0.6296,8471.74,0.6300,0.6200
1782875760,0.6700,0.6677,8081.87,0.6800,0.6700
1782875820,0.6700,0.6701,11274.93,0.6700,0.6600
1782875880,0.7500,0.6861,25921.60,0.7500,0.7400
1782875940,0.7500,0.7468,11883.59,0.7500,0.7400
1782876000,0.8000,0.7503,100748.37,0.8000,0.7400
1782876060,0.8500,0.8551,37822.62,0.8600,0.8500
1782876120,0.8500,0.8571,12596.81,0.8600,0.8500
1782876180,0.8700,0.8639,12217.83,0.8700,0.8600
1782876240,0.8500,0.8605,8500.76,0.8600,0.8500
1782876300,0.8700,0.8555,4325.32,0.8800,0.8700
1782876360,0.8800,0.8723,15916.90,0.8900,0.8800
1782876420,0.8900,0.8950,30300.69,0.9000,0.8900
1782876480,0.9100,0.9113,51494.64,0.9100,0.9000
1782876540,0.9500,0.9406,41677.01,0.9600,0.9500
1782876600,0.9600,0.9553,8951.97,0.9700,0.9600
1782876660,0.9600,0.9636,25182.30,0.9700,0.9600
1782876720,0.9500,0.9517,31169.79,0.9600,0.9400
1782876780,0.9600,0.9514,6741.03,0.9600,0.9500
1782876840,0.9300,0.9335,6589.48,0.9300,0.9200
1782876900,0.9300,0.9292,15355.25,0.9400,0.9200
1782876960,0.9700,0.9537,16073.40,0.9800,0.9700
1782877020,0.9700,0.9706,29761.25,0.9800,0.9700
1782877080,0.9700,0.9707,8025.77,0.9800,0.9700
1782877140,0.9800,0.9701,10010.88,0.9800,0.9700
1782877200,0.9700,0.9754,14128.90,0.9800,0.9700
1782877260,0.9700,0.9728,7894.83,0.9800,0.9700
1782877320,0.9500,0.9656,3223.49,0.9700,0.9500
1782877380,0.9500,0.9590,4775.32,0.9600,0.9500
1782877440,0.9600,0.9566,5155.03,0.9600,0.9500
1782877500,0.9700,0.9642,3942.51,0.9800,0.9700
1782877560,0.9700,0.9703,4581.23,0.9800,0.9700
1782877620,0.9800,0.9705,2375.93,0.9800,0.9700
1782877680,0.9600,0.9704,2027.75,0.9600,0.9500
1782877740,0.9600,0.9597,24550.01,0.9600,0.9500
1782877800,0.9600,0.9584,3817.72,0.9600,0.9500
1782877860,0.9600,0.9543,8439.50,0.9600,0.9500
1782877920,0.9200,0.9298,2836.18,0.9300,0.9200
1782877980,0.9400,0.9295,39687.13,0.9400,0.9300
1782878040,0.9400,0.9370,8245.18,0.9400,0.9300
1782878100,0.9100,0.9223,10453.83,0.9100,0.9000
1782878160,0.8800,0.8786,11482.51,0.8800,0.8700
1782878220,0.8700,0.8769,21549.73,0.8700,0.8600
1782878280,0.7800,0.7927,30409.05,0.7800,0.7700
1782878340,0.8400,0.8258,15650.84,0.8400,0.8300
1782878400,0.8500,0.8451,13150.60,0.8600,0.8500
1782878460,0.8900,0.8929,15473.22,0.9000,0.8900
1782878520,0.9000,0.8937,8618.33,0.9000,0.8900
1782878580,0.9000,0.8974,6309.06,0.9100,0.9000
1782878640,0.9200,0.9188,22617.15,0.9200,0.9100
1782878700,0.9100,0.9163,7397.87,0.9100,0.9000
