ts,price_close,price_mean,volume,ask_close,bid_close
1782868320,0.1500,0.1500,0.00,0.1500,0.1300
1782868380,0.1500,0.1500,58.76,0.1500,0.1300
1782868440,0.1500,0.1500,0.00,0.1500,0.1300
1782868500,0.1500,0.1500,0.00,0.1500,0.1300
1782868560,0.1500,0.1500,0.00,0.1500,0.1300
1782868680,0.1500,0.1500,0.00,0.1500,0.1300
1782868740,0.1500,0.1500,0.00,0.1500,0.1300
1782868800,0.1500,0.1500,0.00,0.1500,0.1300
1782868920,0.1500,0.1500,0.00,0.1500,0.1300
1782868980,0.1500,0.1500,0.00,0.1500,0.1300
1782869100,0.1500,0.1500,0.00,0.1500,0.1300
1782869220,0.1500,0.1500,0.00,0.1500,0.1300
1782869340,0.1500,0.1500,0.00,0.1500,0.1300
1782869460,0.1500,0.1500,0.00,0.1500,0.1300
1782869520,0.1500,0.1500,0.00,0.1500,0.1300
1782869580,0.1500,0.1500,0.00,0.1500,0.1300
1782869640,0.1500,0.1500,0.00,0.1500,0.1300
1782869700,0.1500,0.1500,0.00,0.1500,0.1300
1782869760,0.1500,0.1500,0.00,0.1500,0.1300
1782869820,0.1500,0.1500,0.00,0.1500,0.1300
1782869880,0.1500,0.1500,150.00,0.1500,0.1300
1782869940,0.1500,0.1500,0.00,0.1500,0.1300
1782870000,0.1500,0.1500,0.00,0.1500,0.1300
1782870060,0.1500,0.1500,0.00,0.1500,0.1300
1782870120,0.1300,0.1300,66.00,0.1400,0.1200
1782870180,0.1300,0.1300,0.00,0.1400,0.1200
1782870240,0.1300,0.1300,0.00,0.1400,0.1100
1782870300,0.1300,0.1300,0.00,0.1200,0.1100
1782870360,0.1200,0.1200,431.73,0.1500,0.1100
1782870420,0.1200,0.1200,0.00,0.1200,0.1100
1782870480,0.1500,0.1488,336.00,0.1200,0.1100
1782870540,0.1200,0.1200,1289.92,0.1200,0.1100
1782870660,0.1200,0.1200,0.00,0.1400,0.1100
1782870720,0.1200,0.1200,0.00,0.1200,0.1100
1782870780,0.1400,0.1347,375.00,0.1200,0.1100
1782870840,0.1400,0.1400,0.00,0.1200,0.1100
1782870900,0.1400,0.1400,0.00,0.1300,0.1100
1782870960,0.1400,0.1400,0.00,0.1600,0.1100
1782871020,0.1400,0.1400,0.00,0.1400,0.1200
1782871080,0.1400,0.1400,0.00,0.1400,0.1200
1782871140,0.1200,0.1200,21.00,0.1200,0.1000
1782871200,0.1200,0.1200,0.00,0.1200,0.1100
1782871260,0.0900,0.0900,2710.00,0.1000,0.0800
1782871320,0.0800,0.0800,1.00,0.0900,0.0800
1782871380,0.0800,0.0800,0.00,0.1000,0.0800
1782871440,0.0800,0.0800,0.00,0.1100,0.1000
1782871500,0.0800,0.0800,0.00,0.1100,0.1000
1782871560,0.0800,0.0800,0.00,0.4900,0.0800
1782871620,0.0800,0.0800,0.00,0.1000,0.0900
1782871680,0.0900,0.0900,901.00,0.1100,0.0800
1782871740,0.0900,0.0900,0.00,0.0800,0.0700
1782871800,0.0900,0.0900,0.00,0.0800,0.0700
1782871860,0.0800,0.0800,13.00,0.0800,0.0700
1782871920,0.0700,0.0700,750.00,0.0900,0.0600
1782871980,0.0700,0.0700,0.00,0.0800,0.0700
1782872040,0.0700,0.0700,0.00,0.0800,0.0700
1782872100,0.0700,0.0700,0.00,0.1100,0.0700
1782872160,0.0700,0.0700,0.00,0.1100,0.0700
1782872220,0.0700,0.0700,0.00,0.0700,0.0600
1782872340,0.0700,0.0700,0.00,0.0700,0.0600
1782872400,0.0600,0.0600,3.00,0.0600,0.0500
1782872460,0.0600,0.0600,0.00,0.0700,0.0500
1782872520,0.0600,0.0600,0.00,0.0600,0.0500
1782872580,0.0600,0.0600,0.00,0.0600,0.0500
1782872640,0.0600,0.0600,0.00,0.0600,0.0500
1782872700,0.0600,0.0600,0.00,0.0600,0.0500
1782872760,0.0600,0.0600,0.00,0.0600,0.0500
1782872820,0.0600,0.0600,0.00,0.0600,0.0500
1782872940,0.0600,0.0600,0.00,0.0800,0.0500
1782873000,0.0600,0.0600,0.00,0.0600,0.0500
1782873060,0.0600,0.0600,0.00,0.0600,0.0500
1782873120,0.0600,0.0600,0.00,0.0600,0.0500
1782873180,0.0500,0.0500,5.00,0.4600,0.0500
1782873240,0.0500,0.0500,0.00,0.0500,0.0400
1782873360,0.0400,0.0400,4.00,0.4700,0.0400
1782873420,0.0400,0.0400,0.00,0.0400,0.0300
1782873480,0.0400,0.0400,23.00,0.0400,0.0300
1782873540,0.0400,0.0400,0.00,0.0400,0.0300
1782873600,0.0400,0.0400,0.00,0.0400,0.0300
1782873720,0.0400,0.0400,0.00,0.0400,0.0300
1782873780,0.0400,0.0400,0.00,0.0400,0.0300
1782873840,0.0300,0.0300,1203.00,0.0300,0.0200
1782873900,0.0300,0.0300,0.00,0.0300,0.0200
1782873960,0.0300,0.0300,0.00,0.0300,0.0200
1782874080,0.0300,0.0300,0.00,0.0300,0.0200
1782874140,0.0300,0.0300,0.00,0.0300,0.0200
1782874200,0.0300,0.0300,0.00,0.0300,0.0200
1782874260,0.0300,0.0300,0.00,0.0300,0.0200
