ts,price_close,price_mean,volume,ask_close,bid_close
1782862800,0.5000,0.4983,111.74,0.5000,0.4900
1782862860,0.5000,0.5000,343.21,0.5000,0.4900
1782862920,0.4900,0.4919,678.17,0.4900,0.4800
1782862980,0.4900,0.4900,345.37,0.4900,0.4800
1782863040,0.4900,0.4900,199.00,0.4900,0.4800
1782863100,0.4900,0.4900,2335.81,0.4900,0.4800
1782863160,0.4900,0.4900,337.52,0.4900,0.4800
1782863220,0.4900,0.4900,0.00,0.4900,0.4800
1782863280,0.4900,0.4900,971.93,0.4900,0.4800
1782863340,0.4900,0.4900,206.00,0.4900,0.4800
1782863400,0.4900,0.4900,80.78,0.4900,0.4800
1782863460,0.4900,0.4900,98.96,0.4900,0.4800
1782863520,0.4900,0.4900,275.85,0.4900,0.4800
1782863580,0.4900,0.4900,98.07,0.4900,0.4800
1782863640,0.4900,0.4900,244.08,0.4900,0.4800
1782863700,0.4900,0.4900,82.66,0.4900,0.4800
1782863760,0.4900,0.4902,5824.38,0.4900,0.4800
1782863820,0.5000,0.4903,652.45,0.5000,0.4900
1782863880,0.5000,0.5000,676.62,0.5000,0.4900
1782863940,0.4900,0.4904,220.91,0.4900,0.4800
1782864000,0.5000,0.4971,2016.44,0.5000,0.4900
1782864060,0.5000,0.5000,1356.20,0.5000,0.4900
1782864120,0.4900,0.4931,497.44,0.4900,0.4800
1782864180,0.4900,0.4900,1639.70,0.4900,0.4800
1782864240,0.4800,0.4897,267.95,0.4900,0.4800
1782864300,0.4900,0.4900,934.81,0.4900,0.4800
1782864360,0.4900,0.4883,901.42,0.4900,0.4800
1782864420,0.4900,0.4900,600.99,0.4900,0.4800
1782864480,0.4900,0.4900,679.95,0.4900,0.4800
1782864540,0.4900,0.4900,536.17,0.4900,0.4800
1782864600,0.4900,0.4900,141.20,0.4900,0.4800
1782864660,0.5000,0.4996,622.38,0.5000,0.4900
1782864720,0.4900,0.4980,1368.61,0.4900,0.4800
1782864780,0.4800,0.4900,1479.22,0.4900,0.4800
1782864840,0.4900,0.4836,3251.09,0.4900,0.4800
1782864900,0.4600,0.4823,4109.93,0.4700,0.4600
1782864960,0.4900,0.4625,659.00,0.4900,0.4800
1782865020,0.4900,0.4780,1776.45,0.4900,0.4800
1782865080,0.4800,0.4799,1287.10,0.4800,0.4700
