ts,price_close,price_mean,volume,ask_close,bid_close
1782862800,0.4800,0.4800,251.26,0.4800,0.4700
1782862860,0.4800,0.4800,139.50,0.4800,0.4700
1782862920,0.4800,0.4800,168.00,0.4800,0.4700
1782862980,0.4800,0.4800,40.00,0.4800,0.4700
1782863040,0.4800,0.4800,0.00,0.4800,0.4700
1782863100,0.4800,0.4800,12.06,0.4800,0.4700
1782863160,0.4800,0.4800,1099.98,0.4800,0.4700
1782863220,0.4700,0.4700,103.28,0.4800,0.4700
1782863280,0.4800,0.4800,302.52,0.4800,0.4700
1782863340,0.4700,0.4763,158.00,0.4800,0.4700
1782863400,0.4700,0.4700,25.00,0.4800,0.4700
1782863460,0.4700,0.4700,0.00,0.4800,0.4700
1782863520,0.4800,0.4800,50.00,0.4800,0.4700
1782863580,0.4800,0.4800,0.00,0.4800,0.4700
1782863640,0.4800,0.4797,118.05,0.4800,0.4700
1782863700,0.4800,0.4795,4337.00,0.4800,0.4700
1782863760,0.4800,0.4800,0.00,0.4800,0.4700
1782863820,0.4800,0.4800,1040.05,0.4800,0.4700
1782863880,0.4800,0.4800,110.00,0.4800,0.4700
1782863940,0.4800,0.4761,393.24,0.4800,0.4700
1782864000,0.4700,0.4727,37.40,0.4800,0.4700
1782864060,0.4800,0.4716,109.33,0.4800,0.4700
1782864120,0.4700,0.4763,79.00,0.4800,0.4700
1782864180,0.4800,0.4800,300.00,0.4800,0.4700
1782864240,0.4800,0.4800,402.03,0.4800,0.4700
1782864300,0.4700,0.4703,769.06,0.4800,0.4700
1782864360,0.4800,0.4758,85.00,0.4800,0.4700
1782864420,0.4800,0.4800,899.77,0.4800,0.4700
1782864480,0.4700,0.4700,1362.00,0.4800,0.4700
1782864540,0.4800,0.4712,228.97,0.4800,0.4700
1782864600,0.4800,0.4798,101.98,0.4800,0.4700
1782864660,0.4600,0.4731,134.89,0.4800,0.4700
1782864720,0.4800,0.4688,327.84,0.4800,0.4700
1782864780,0.5100,0.4932,350.00,0.5200,0.5100
1782864840,0.5100,0.4937,1100.00,0.5000,0.4900
1782864900,0.5100,0.4807,989.85,0.5200,0.5100
1782864960,0.4700,0.5027,110.00,0.4800,0.4700
1782865020,0.4800,0.4800,100.00,0.4900,0.4800
1782865080,0.4800,0.4800,114.15,0.5000,0.4900
1782865140,0.5400,0.5160,116.49,0.5800,0.5600
1782865200,0.6000,0.5949,47.00,0.6100,0.6000
1782865260,0.7800,0.7431,26.00,0.7800,0.7500
1782865320,0.7800,0.7800,0.00,0.7700,0.7600
1782865380,0.7800,0.7649,237.16,0.7700,0.7600
1782865440,0.7400,0.7526,428.42,0.7400,0.7300
1782865560,0.7400,0.7400,0.00,0.7500,0.7300
1782865620,0.7400,0.7400,0.00,0.7400,0.7300
1782865680,0.7400,0.7400,0.00,0.7200,0.7100
1782865740,0.7400,0.7400,0.00,0.7400,0.7300
1782865800,0.7400,0.7396,48.51,0.7400,0.7300
1782865860,0.7100,0.7165,326.00,0.7200,0.7000
1782865920,0.7100,0.7100,48.00,0.7300,0.7200
1782865980,0.7200,0.7200,36.52,0.7200,0.7100
1782866040,0.7200,0.7200,0.00,0.7300,0.7100
1782866100,0.7200,0.7200,0.00,0.7300,0.7200
1782866160,0.7200,0.7200,0.00,0.7300,0.7100
1782866220,0.6900,0.6915,3293.49,0.6900,0.6800
1782866280,0.6900,0.6900,0.00,0.6900,0.6800
1782866340,0.6900,0.6900,0.00,0.6800,0.6700
1782866400,0.6900,0.6900,0.00,0.6700,0.6600
1782866460,0.6700,0.6701,71.00,0.6700,0.6600
1782866520,0.6500,0.6564,286.37,0.6600,0.6500
1782866580,0.6500,0.6500,0.00,0.6600,0.6400
1782866640,0.6500,0.6500,0.00,0.6700,0.6600
1782866700,0.6500,0.6500,0.00,0.6900,0.6600
1782866760,0.6500,0.6500,0.00,0.6500,0.6400
1782866820,0.6500,0.6500,45.05,0.6500,0.6400
1782866880,0.6500,0.6500,0.00,0.6500,0.6400
1782866940,0.6400,0.6400,31.77,0.6500,0.6400
1782867000,0.6400,0.6430,41.66,0.6500,0.6400
1782867060,0.6400,0.6400,4995.23,0.6100,0.6000
1782867120,0.6400,0.6400,0.00,0.6000,0.5900
1782867180,0.5900,0.5900,58.55,0.6000,0.5900
1782867240,0.5900,0.5900,0.00,0.5800,0.5700
1782867300,0.5500,0.5505,599.00,0.5600,0.5500
1782867360,0.5700,0.5567,17742.82,0.5600,0.5500
1782867420,0.5300,0.5499,2770.85,0.5400,0.5300
1782867480,0.5300,0.5300,407.73,0.5400,0.5300
1782867540,0.5300,0.5300,0.00,0.5400,0.5300
1782867600,0.5400,0.5346,1253.94,0.5800,0.5500
1782867660,0.6000,0.6000,2763.87,0.6200,0.5900
1782867720,0.5900,0.5941,133.00,0.6000,0.5800
1782867780,0.5700,0.5704,1327.17,0.5800,0.5700
1782867840,0.5200,0.5225,23.91,0.5200,0.5100
1782867900,0.5100,0.5100,39.00,0.5200,0.5000
1782867960,0.5100,0.5021,125.08,0.5100,0.5000
1782868020,0.4800,0.4883,630.25,0.4800,0.4700
1782868080,0.4700,0.4724,749.91,0.4800,0.4700
1782868140,0.4600,0.4710,397.24,0.4700,0.4500
1782868200,0.4400,0.4403,153.01,0.4400,0.4300
1782868260,0.4300,0.4300,677.81,0.4500,0.4300
1782868320,0.4400,0.4669,444.55,0.4300,0.4200
1782868440,0.4200,0.4200,1289.61,0.4300,0.4200
1782868500,0.4200,0.4200,0.00,0.4300,0.4100
1782868560,0.4300,0.4300,22.36,0.4500,0.4200
1782868620,0.4000,0.4000,2711.00,0.4100,0.3900
1782868680,0.4100,0.4100,800.00,0.4000,0.3900
1782868740,0.3900,0.3900,830.00,0.4300,0.4200
1782868800,0.4900,0.4551,350.64,0.5000,0.4900
1782868860,0.5400,0.5095,1416.00,0.5900,0.5800
1782868920,0.5900,0.5900,1.00,0.5900,0.5800
1782868980,0.5700,0.5700,48.28,0.5600,0.5500
1782869040,0.5500,0.5439,517.90,0.5800,0.5600
1782869100,0.5600,0.5600,158.73,0.5600,0.5500
1782869160,0.6000,0.5441,4373.35,0.6000,0.5300
1782869220,0.5600,0.5600,109.00,0.5900,0.5800
1782869280,0.5600,0.5568,12991.62,0.5700,0.5600
1782869340,0.6000,0.5515,6753.80,0.6300,0.5300
1782869400,0.7000,0.5865,4883.39,0.7100,0.7000
1782869460,0.7800,0.7958,13193.81,0.9600,0.7500
1782869520,0.9900,0.9876,3257.23,1.0000,0.9900
1782869580,0.9900,0.9900,23.25,1.0000,0.9900
1782869640,0.9900,0.9900,440.56,1.0000,0.9900
1782869700,0.9900,0.9900,0.00,1.0000,0.9900
1782869760,0.9900,0.9900,0.00,1.0000,0.9900
1782869820,0.9900,0.9900,900.52,1.0000,0.9900
1782869880,0.9900,0.9900,284.00,1.0000,0.9900
1782869940,0.9900,0.9900,0.00,1.0000,0.9900
1782870000,0.9900,0.9900,0.00,1.0000,0.9900
1782870060,0.9900,0.9900,0.00,1.0000,0.9900
1782870120,0.9900,0.9900,197.04,1.0000,0.9900
1782870180,0.9900,0.9900,15.27,1.0000,0.9900
1782870240,0.9900,0.9900,0.00,1.0000,0.9900
1782870300,0.9900,0.9900,97.51,1.0000,0.9900
1782870360,0.9900,0.9900,29.77,1.0000,0.9900
1782870420,0.9900,0.9900,0.00,1.0000,0.9900
1782870480,0.9900,0.9900,0.00,1.0000,0.9900
1782870540,0.9900,0.9900,0.00,1.0000,0.9900
1782870600,0.9900,0.9900,0.00,1.0000,0.9900
1782870660,0.9900,0.9900,20.10,1.0000,0.9900
1782870720,0.9900,0.9900,87.61,1.0000,0.9900
1782870780,0.9900,0.9900,10.05,1.0000,0.9900
1782870840,0.9900,0.9900,294.00,1.0000,0.9900
1782870900,0.9900,0.9900,0.00,1.0000,0.9900
1782870960,0.9900,0.9900,0.00,1.0000,0.9900
1782871020,0.9900,0.9900,0.00,1.0000,0.9900
1782871080,0.9900,0.9900,0.00,1.0000,0.9900
1782871140,0.9900,0.9900,0.00,1.0000,0.9900
