ts,price_close,price_mean,volume,ask_close,bid_close
1782857400,0.6700,0.6695,467.99,0.6700,0.6600
1782857460,0.6700,0.6700,936.75,0.6700,0.6600
1782857520,0.6700,0.6700,846.77,0.6700,0.6600
1782857580,0.6700,0.6700,3127.40,0.6700,0.6600
1782857640,0.6700,0.6699,4745.50,0.6700,0.6600
1782857700,0.6700,0.6700,653.92,0.6700,0.6600
1782857760,0.6700,0.6700,684.40,0.6700,0.6600
1782857820,0.6700,0.6604,5774.15,0.6700,0.6500
1782857880,0.6700,0.6700,425.15,0.6700,0.6500
1782857940,0.6700,0.6700,6609.52,0.6700,0.6600
1782858000,0.6700,0.6700,698.65,0.6700,0.6600
1782858060,0.6700,0.6700,1891.27,0.6700,0.6600
1782858120,0.6700,0.6700,3554.07,0.6700,0.6600
1782858180,0.6700,0.6700,152.93,0.6700,0.6600
1782858240,0.6700,0.6692,3866.68,0.6700,0.6600
1782858300,0.6700,0.6700,597.99,0.6700,0.6600
1782858360,0.6700,0.6700,2639.73,0.6700,0.6600
1782858420,0.6700,0.6700,2018.92,0.6700,0.6600
1782858480,0.6700,0.6700,1129.31,0.6700,0.6600
1782858540,0.6700,0.6695,2882.94,0.6700,0.6600
1782858600,0.6700,0.6698,1451.31,0.6700,0.6600
1782858660,0.6700,0.6700,780.71,0.6700,0.6600
1782858720,0.6700,0.6700,1205.50,0.6700,0.6600
1782858780,0.6700,0.6700,3152.54,0.6700,0.6600
1782858840,0.6700,0.6700,8079.91,0.6700,0.6600
1782858900,0.6600,0.6700,3450.89,0.6700,0.6600
1782858960,0.6700,0.6700,10263.05,0.6700,0.6600
1782859020,0.6700,0.6700,3724.20,0.6700,0.6600
1782859080,0.6700,0.6700,4358.20,0.6700,0.6600
1782859140,0.6700,0.6700,4354.74,0.6700,0.6600
1782859200,0.6700,0.6684,2135.41,0.6700,0.6600
1782859260,0.6700,0.6699,2881.73,0.6700,0.6600
1782859320,0.6700,0.6699,15505.88,0.6700,0.6600
1782859380,0.6600,0.6596,3490.10,0.6600,0.6500
1782859440,0.6700,0.6616,3501.87,0.6700,0.6600
1782859500,0.6800,0.6300,64625.81,0.6800,0.6700
1782859560,0.6900,0.6806,3838.73,0.6900,0.6800
1782859620,0.7100,0.6927,15643.76,0.7100,0.7000
1782859680,0.7100,0.7100,2289.83,0.7100,0.7000
1782859740,0.7100,0.7099,4614.17,0.7100,0.7000
1782859800,0.7100,0.7100,491.23,0.7100,0.7000
