ts,price_close,price_mean,volume,ask_close,bid_close
1782857400,0.5500,0.5443,297.23,0.5500,0.5300
1782857460,0.5500,0.5500,0.00,0.5500,0.5300
1782857520,0.5500,0.5369,678.00,0.5500,0.5300
1782857580,0.5400,0.5432,166.10,0.5400,0.5300
1782857640,0.5300,0.5311,609.15,0.5400,0.5300
1782857700,0.5300,0.5300,35.42,0.5400,0.5300
1782857760,0.5300,0.5306,219.00,0.5400,0.5300
1782857820,0.5500,0.5401,688.15,0.5500,0.5300
1782857880,0.5300,0.5332,1143.06,0.5500,0.5300
1782857940,0.5500,0.5324,2730.03,0.5500,0.5300
1782858000,0.5300,0.5445,364.39,0.5500,0.5300
1782858060,0.5500,0.5500,322.00,0.5400,0.5300
1782858120,0.5400,0.5400,76.00,0.5400,0.5300
1782858180,0.5300,0.5300,2019.47,0.5400,0.5300
1782858240,0.5500,0.5414,6043.39,0.5500,0.5300
1782858300,0.5500,0.5348,632.97,0.5500,0.5300
1782858360,0.5300,0.5300,464.41,0.5400,0.5300
1782858420,0.5400,0.5398,109.62,0.5400,0.5300
1782858480,0.5500,0.5470,592.05,0.5500,0.5400
1782858540,0.5400,0.5495,79.25,0.5500,0.5400
1782858600,0.5500,0.5462,1715.90,0.5500,0.5300
1782858660,0.5400,0.5315,2918.65,0.5400,0.5300
1782858720,0.5400,0.5368,494.73,0.5400,0.5300
1782858780,0.5400,0.5371,3776.25,0.5400,0.5300
1782858840,0.5400,0.5393,27.97,0.5400,0.5300
1782858900,0.5300,0.5318,7513.60,0.5400,0.5300
1782858960,0.5400,0.5393,1415.00,0.5400,0.5300
1782859020,0.5300,0.5418,1775.00,0.5500,0.5300
1782859080,0.5400,0.5449,1288.70,0.5500,0.5400
1782859140,0.5500,0.5442,465.35,0.5500,0.5300
1782859200,0.5300,0.5305,4367.73,0.5400,0.5300
1782859260,0.5300,0.5367,602.69,0.5400,0.5300
1782859320,0.5500,0.5385,796.01,0.5500,0.5300
1782859380,0.5300,0.5491,387.04,0.5500,0.5300
1782859440,0.5200,0.5228,314.77,0.5400,0.5200
1782859500,0.5100,0.5039,1210.17,0.5100,0.4900
1782859560,0.5200,0.5053,515.25,0.5100,0.4900
1782859620,0.4800,0.4917,1446.69,0.5000,0.4800
1782859680,0.4700,0.4705,1364.03,0.4900,0.4700
1782859740,0.4700,0.4758,779.97,0.4900,0.4700
1782859800,0.4700,0.4729,1564.95,0.4900,0.4700
1782859860,0.4800,0.4930,1401.02,0.4900,0.4700
1782859920,0.4600,0.4602,152.31,0.4600,0.4400
1782859980,0.4400,0.4400,102.00,0.4400,0.4200
1782860040,0.4400,0.4344,1504.72,0.4400,0.4300
1782860100,0.4300,0.4310,399.33,0.4400,0.4300
1782860160,0.4200,0.4211,280.00,0.4100,0.4000
1782860220,0.4100,0.4100,173.00,0.4200,0.4100
1782860280,0.3900,0.3913,15.88,0.4100,0.3900
1782860340,0.3900,0.3900,172.02,0.4000,0.3900
1782860400,0.3900,0.3900,358.31,0.4000,0.3900
1782860460,0.3900,0.3900,119.60,0.4000,0.3800
1782860520,0.3800,0.3800,12.00,0.3900,0.3800
1782860580,0.3900,0.3900,4.22,0.3900,0.3800
1782860640,0.3700,0.3733,182.23,0.3800,0.3700
1782860700,0.3500,0.3500,394.00,0.3600,0.3500
1782860760,0.3500,0.3500,0.00,0.3500,0.3400
1782860820,0.3700,0.3702,813.00,0.3800,0.3600
1782860880,0.3700,0.3650,300.00,0.3800,0.3600
1782860940,0.3700,0.3700,0.00,0.3800,0.3600
1782861000,0.3700,0.3700,245.01,0.4100,0.3600
1782861060,0.3800,0.3800,55.00,0.3800,0.3600
1782861120,0.3800,0.3800,82.00,0.3800,0.3700
1782861180,0.5000,0.4249,243.69,0.5400,0.4400
1782861240,0.5100,0.5309,1077.31,0.5100,0.5000
1782861300,0.5000,0.5080,208.83,0.5100,0.5000
1782861360,0.4900,0.5091,1362.16,0.5000,0.4900
1782861420,0.4900,0.4922,2299.56,0.5200,0.4900
1782861480,0.5000,0.5091,21436.15,0.5100,0.5000
1782861540,0.5100,0.5134,1065.00,0.5100,0.5000
1782861600,0.4700,0.4819,1543.71,0.4800,0.4700
1782861660,0.4600,0.4696,1599.81,0.4600,0.4500
1782861720,0.4500,0.4698,2124.51,0.4700,0.4500
1782861780,0.4500,0.4500,271.26,0.4700,0.4500
1782861840,0.4500,0.4492,451.00,0.4500,0.4300
1782861900,0.4400,0.4380,239.11,0.4800,0.4300
1782861960,0.4000,0.4004,151.90,0.4200,0.4100
1782862020,0.4100,0.4019,402.46,0.4100,0.3900
1782862080,0.3900,0.3900,101.81,0.4100,0.3900
1782862140,0.3900,0.3900,24.95,0.4100,0.3900
1782862200,0.4100,0.4100,10.25,0.4300,0.4000
