ts,price_close,price_mean,volume,ask_close,bid_close
1782862500,0.5900,0.5900,186.75,0.5900,0.5800
1782862560,0.5900,0.5900,191.94,0.5900,0.5800
1782862620,0.5900,0.5900,129.68,0.5900,0.5800
1782862680,0.5900,0.5900,838.18,0.5900,0.5800
1782862740,0.5900,0.5900,183.00,0.5900,0.5800
1782862800,0.5900,0.5900,217.11,0.5900,0.5800
1782862860,0.5800,0.5808,1061.81,0.5800,0.5700
1782862920,0.5800,0.5800,67.42,0.5800,0.5700
1782862980,0.5800,0.5800,978.42,0.5800,0.5700
1782863040,0.5800,0.5800,1485.65,0.5800,0.5700
1782863100,0.5800,0.5800,95.63,0.5800,0.5700
1782863160,0.5800,0.5800,1032.26,0.5800,0.5700
1782863220,0.5800,0.5800,175.84,0.5800,0.5700
1782863280,0.5800,0.5800,110.17,0.5800,0.5700
1782863340,0.5800,0.5800,768.42,0.5800,0.5700
1782863400,0.5800,0.5800,130.53,0.5800,0.5700
1782863460,0.5800,0.5800,301.37,0.5800,0.5700
1782863520,0.5800,0.5800,273.60,0.5800,0.5700
1782863580,0.5800,0.5800,389.17,0.5800,0.5700
1782863640,0.5800,0.5800,230.26,0.5800,0.5700
1782863700,0.5800,0.5800,337.84,0.5800,0.5700
1782863760,0.5800,0.5800,901.73,0.5800,0.5700
1782863820,0.5900,0.5812,25669.75,0.5900,0.5800
1782863880,0.5800,0.5876,1195.94,0.5800,0.5700
1782863940,0.5900,0.5899,175.22,0.5900,0.5700
1782864000,0.5800,0.5822,189.37,0.5800,0.5700
1782864060,0.5800,0.5800,908.49,0.5800,0.5700
1782864120,0.5800,0.5800,4364.47,0.5800,0.5700
1782864180,0.5800,0.5800,1210.85,0.5800,0.5700
1782864240,0.5800,0.5800,214.13,0.5800,0.5700
1782864300,0.5800,0.5800,299.81,0.5800,0.5700
1782864360,0.5800,0.5800,1654.03,0.5800,0.5700
1782864420,0.4700,0.5539,11088.39,0.4800,0.4700
1782864480,0.5200,0.5013,10116.48,0.5300,0.5100
1782864540,0.5100,0.5062,794.91,0.5100,0.5000
1782864600,0.5300,0.5185,47360.15,0.5300,0.5200
1782864660,0.5300,0.5300,1819.71,0.5300,0.5200
1782864720,0.5300,0.5300,342.89,0.5300,0.5200
1782864780,0.5100,0.5230,3462.98,0.5100,0.5000
1782864840,0.5200,0.5111,248.10,0.5200,0.5100
1782864900,0.5300,0.5291,984.38,0.5300,0.5200
1782864960,0.5200,0.5242,937.50,0.5300,0.5000
1782865020,0.6100,0.5580,1571.93,0.6100,0.6000
1782865080,0.6100,0.6099,1532.45,0.6100,0.6000
1782865140,0.6000,0.6069,267.32,0.6000,0.5900
1782865200,0.5900,0.5900,4210.73,0.6000,0.5800
1782865260,0.6100,0.5989,3589.62,0.6100,0.6000
1782865320,0.6200,0.6107,2824.08,0.6200,0.6100
1782865380,0.6300,0.6270,2274.60,0.6300,0.6200
1782865440,0.5900,0.6237,214.49,0.6400,0.5800
1782865500,0.5700,0.5795,1236.42,0.5800,0.5700
1782865560,0.5700,0.5789,2123.25,0.5700,0.5600
1782865620,0.5200,0.5605,637.95,0.5300,0.5200
1782865680,0.5300,0.5300,826.86,0.5300,0.5200
1782865740,0.5600,0.5435,1493.00,0.5600,0.5500
1782865800,0.5600,0.5512,2518.68,0.5600,0.5500
1782865860,0.5800,0.5791,431.51,0.5900,0.5800
1782865920,0.6100,0.5979,1783.06,0.6100,0.6000
1782865980,0.6100,0.6100,21892.55,0.6100,0.6000
1782866040,0.6100,0.6100,168.75,0.6100,0.6000
1782866100,0.6000,0.6001,1853.61,0.6000,0.5900
1782866160,0.5800,0.5968,245.05,0.5800,0.5700
1782866220,0.5800,0.5781,246.83,0.5800,0.5700
1782866280,0.5800,0.5800,289.39,0.5800,0.5700
1782866340,0.6700,0.6234,231.54,0.6800,0.6700
1782866400,0.6800,0.6714,1231.42,0.6700,0.6600
1782866460,0.6800,0.6798,360.66,0.6900,0.6700
1782866520,0.7000,0.7000,437.93,0.7000,0.6900
1782866580,0.7200,0.6946,241.13,0.7000,0.6900
1782866640,0.7200,0.7017,813.75,0.7300,0.7200
1782866700,0.7300,0.7291,1133.94,0.7400,0.7300
1782866760,0.8800,0.7995,9632.82,0.8900,0.8800
1782866820,0.8900,0.8899,22215.50,0.9000,0.8900
1782866880,0.8800,0.8809,264.25,0.8900,0.8800
1782866940,0.8800,0.8810,728.76,0.8800,0.8700
1782867000,0.8800,0.8779,1028.01,0.8800,0.8700
1782867060,0.8700,0.8701,402.14,0.8800,0.8700
1782867120,0.8600,0.8612,1010.95,0.8700,0.8600
1782867180,0.8700,0.8612,79.13,0.8700,0.8600
1782867240,0.8400,0.8505,3748.29,0.8400,0.8300
1782867300,0.8400,0.8331,1208.45,0.8400,0.8300
1782867360,0.8400,0.8400,279.55,0.8400,0.8300
1782867420,0.8700,0.8498,747.82,0.8800,0.8700
1782867480,0.7900,0.8444,1787.60,0.7700,0.7600
1782867540,0.7600,0.7606,594.00,0.7600,0.7500
1782867600,0.7400,0.7625,1006.20,0.7400,0.7300
1782867660,0.7400,0.7451,573.00,0.7400,0.7300
1782867720,0.7600,0.7458,312.09,0.7600,0.7500
1782867780,0.7700,0.7641,2109.50,0.7700,0.7600
1782867840,0.7700,0.7672,280.12,0.7700,0.7600
1782867900,0.7900,0.7729,1422.25,0.8000,0.7900
1782867960,0.8000,0.7946,213.65,0.8000,0.7900
1782868020,0.7900,0.7900,2267.33,0.7900,0.7800
1782868080,0.7700,0.7709,50.39,0.7700,0.7600
1782868140,0.7300,0.7591,1879.68,0.7400,0.7300
1782868200,0.7500,0.7412,1137.94,0.7500,0.7400
1782868260,0.7500,0.7500,97.20,0.7500,0.7400
1782868320,0.7300,0.7472,1154.23,0.7300,0.7200
1782868380,0.7300,0.7226,466.76,0.7300,0.7200
1782868440,0.7300,0.7295,284.46,0.7200,0.7100
1782868500,0.6900,0.6999,1221.81,0.7000,0.6900
1782868560,0.7300,0.7284,55809.22,0.7400,0.7300
1782868620,0.7700,0.7422,9740.49,0.7700,0.7600
1782868680,0.7800,0.7600,40059.08,0.7800,0.7700
1782868740,0.7800,0.7777,432.12,0.7800,0.7700
1782868800,0.7800,0.7800,118.14,0.7800,0.7700
1782868860,0.7900,0.7826,63.06,0.7900,0.7800
1782868920,0.7900,0.7896,375.96,0.7900,0.7800
1782868980,0.7600,0.7697,511.30,0.7700,0.7600
1782869040,0.7600,0.7636,266.87,0.7600,0.7500
1782869100,0.7700,0.7615,2845.82,0.7700,0.7600
1782869160,0.7500,0.7501,877.48,0.7500,0.7400
1782869220,0.7500,0.7483,816.89,0.7500,0.7400
1782869280,0.7400,0.7402,1198.24,0.7300,0.7200
1782869340,0.7700,0.7300,992.40,0.7800,0.7700
1782869400,0.7800,0.7773,392.49,0.7800,0.7700
1782869460,0.7500,0.7780,15370.84,0.7500,0.7400
