ts,price_close,price_mean,volume,ask_close,bid_close
1782862500,0.4600,0.4600,76.00,0.4700,0.4600
1782862560,0.4700,0.4697,1694.27,0.4700,0.4600
1782862620,0.4700,0.4697,204.38,0.4700,0.4600
1782862680,0.4600,0.4690,113.00,0.4700,0.4600
1782862740,0.4600,0.4606,11672.57,0.4700,0.4600
1782862800,0.4600,0.4600,0.00,0.4700,0.4600
1782862860,0.4600,0.4600,123.97,0.4700,0.4600
1782862920,0.4700,0.4700,1530.00,0.4700,0.4600
1782862980,0.4700,0.4645,384.01,0.4700,0.4600
1782863040,0.4700,0.4698,2724.53,0.4700,0.4600
1782863100,0.4600,0.4600,36.41,0.4700,0.4600
1782863160,0.4700,0.4610,195.76,0.4700,0.4600
1782863220,0.4700,0.4699,1268.94,0.4700,0.4600
1782863280,0.4700,0.4700,51.28,0.4700,0.4600
1782863340,0.4700,0.4653,111.34,0.4700,0.4600
1782863400,0.4700,0.4678,1240.53,0.4700,0.4600
1782863460,0.4600,0.4600,256.98,0.4700,0.4600
1782863520,0.4600,0.4622,681.00,0.4700,0.4600
1782863580,0.4600,0.4607,2889.93,0.4700,0.4600
1782863640,0.4600,0.4700,2111.54,0.4700,0.4600
1782863700,0.4700,0.4700,75.00,0.4700,0.4600
1782863760,0.4700,0.4608,1944.87,0.4700,0.4600
1782863820,0.4600,0.4688,579.70,0.4700,0.4600
1782863880,0.4700,0.4698,3850.21,0.4700,0.4600
1782863940,0.4700,0.4691,180.54,0.4700,0.4600
1782864000,0.4600,0.4684,1093.87,0.4700,0.4600
1782864060,0.4600,0.4625,750.97,0.4700,0.4600
1782864120,0.4700,0.4683,4449.08,0.4700,0.4600
1782864180,0.4600,0.4699,22015.17,0.4700,0.4600
1782864240,0.4600,0.4609,10678.81,0.4700,0.4600
1782864300,0.4700,0.4698,2412.54,0.4700,0.4600
1782864360,0.4600,0.4571,8149.38,0.4700,0.4600
1782864420,0.5200,0.4689,1727.74,0.5400,0.5300
1782864480,0.5200,0.5342,176.13,0.5300,0.5200
