ts,price_close,price_mean,volume,ask_close,bid_close
1782861000,0.5300,0.5300,438.60,0.5300,0.5200
1782861060,0.5300,0.5300,1813.26,0.5300,0.5200
1782861120,0.5300,0.5300,6125.28,0.5300,0.5200
1782861180,0.5300,0.5300,311.20,0.5300,0.5200
1782861240,0.5300,0.5300,1737.72,0.5300,0.5200
1782861300,0.5300,0.5300,258.90,0.5300,0.5200
1782861360,0.5200,0.5300,658.30,0.5300,0.5200
1782861420,0.5300,0.5300,2866.14,0.5300,0.5200
1782861480,0.5300,0.5300,968.10,0.5300,0.5200
1782861540,0.5300,0.5300,313.90,0.5300,0.5200
1782861600,0.5300,0.5300,1265.93,0.5300,0.5200
1782861660,0.5300,0.5300,475.83,0.5300,0.5200
1782861720,0.5300,0.5300,1022.74,0.5300,0.5200
1782861780,0.5300,0.5300,534.80,0.5300,0.5200
1782861840,0.5300,0.5300,1328.67,0.5300,0.5200
1782861900,0.5300,0.5300,799.08,0.5300,0.5200
1782861960,0.5300,0.5300,531.79,0.5300,0.5200
1782862020,0.5300,0.5300,1671.60,0.5300,0.5200
1782862080,0.5300,0.5300,1546.06,0.5300,0.5200
1782862140,0.5300,0.5300,1974.88,0.5300,0.5200
1782862200,0.5300,0.5300,3243.64,0.5300,0.5200
1782862260,0.5300,0.5300,5902.23,0.5300,0.5200
1782862320,0.5200,0.5300,2042.57,0.5300,0.5200
1782862380,0.5300,0.5300,1919.36,0.5300,0.5200
1782862440,0.5300,0.5300,5028.87,0.5300,0.5200
1782862500,0.5300,0.5300,751.41,0.5300,0.5200
1782862560,0.5300,0.5300,2251.77,0.5300,0.5200
1782862620,0.5300,0.5300,5124.15,0.5300,0.5200
1782862680,0.5300,0.5300,23740.44,0.5300,0.5200
1782862740,0.5300,0.5300,3398.77,0.5300,0.5200
1782862800,0.5300,0.5300,6880.81,0.5300,0.5200
1782862860,0.5300,0.5300,7536.87,0.5300,0.5200
1782862920,0.5200,0.5256,124901.91,0.5200,0.5100
1782862980,0.4900,0.5193,9950.63,0.4900,0.4800
1782863040,0.5000,0.4926,4190.65,0.5000,0.4900
1782863100,0.5100,0.5025,6697.17,0.5200,0.5000
1782863160,0.4900,0.5023,8442.16,0.4900,0.4800
1782863220,0.4700,0.4776,2608.24,0.4700,0.4600
1782863280,0.4700,0.4700,6765.15,0.4700,0.4600
1782863340,0.4700,0.4700,5081.68,0.4700,0.4600
1782863400,0.3800,0.3968,5010.25,0.3800,0.3400
1782863460,0.4100,0.3856,7311.40,0.4100,0.4000
1782863520,0.4100,0.4098,14861.49,0.4200,0.4100
1782863580,0.4200,0.4177,5746.80,0.4200,0.4100
1782863640,0.4200,0.4200,3675.19,0.4200,0.4100
1782863700,0.4200,0.4197,11325.83,0.4100,0.4000
1782863760,0.4400,0.4438,3566.88,0.4400,0.4300
1782863820,0.4400,0.4379,13713.71,0.4400,0.4300
