ts,price_close,price_mean,volume,ask_close,bid_close
1782861000,0.1900,0.1900,0.00,0.1900,0.1700
1782861060,0.1900,0.1900,0.00,0.1900,0.1700
1782861180,0.1900,0.1900,0.00,0.1900,0.1700
1782861240,0.1900,0.1900,0.00,0.1900,0.1700
1782861300,0.1900,0.1900,0.00,0.1900,0.1700
1782861360,0.1900,0.1900,0.00,0.1900,0.1700
1782861420,0.1700,0.1700,931.00,0.1900,0.1700
1782861480,0.1700,0.1700,0.00,0.1900,0.1700
1782861540,0.1700,0.1700,0.00,0.1900,0.1700
1782861660,0.1700,0.1700,0.00,0.1900,0.1800
1782861720,0.1700,0.1700,0.00,0.1900,0.1800
1782861780,0.1700,0.1700,0.00,0.1900,0.1800
1782861840,0.1700,0.1700,0.00,0.1900,0.1800
1782861900,0.1700,0.1700,0.00,0.1900,0.1800
1782861960,0.1700,0.1700,0.00,0.1900,0.1800
1782862020,0.1700,0.1700,0.00,0.1900,0.1800
1782862080,0.1700,0.1700,0.00,0.1900,0.1800
1782862140,0.1700,0.1700,0.00,0.1900,0.1800
1782862200,0.1700,0.1700,0.00,0.1900,0.1800
1782862260,0.1700,0.1700,0.00,0.1900,0.1800
1782862320,0.1700,0.1700,0.00,0.1900,0.1800
1782862380,0.1700,0.1700,0.00,0.1900,0.1800
1782862500,0.1700,0.1700,0.00,0.1900,0.1800
1782862560,0.1700,0.1700,0.00,0.1900,0.1800
1782862620,0.1700,0.1700,0.00,0.1900,0.1800
1782862680,0.1700,0.1700,0.00,0.1900,0.1800
1782862740,0.1700,0.1700,0.00,0.1900,0.1700
1782862800,0.1900,0.1900,9.47,0.1900,0.1700
1782862860,0.1900,0.1900,0.00,0.2000,0.1500
1782862920,0.1900,0.1900,0.00,0.2000,0.1600
1782862980,0.1900,0.1900,0.00,0.1700,0.1600
1782863040,0.1900,0.1900,0.00,0.1800,0.1700
1782863100,0.1900,0.1900,0.00,0.2000,0.1800
1782863160,0.1900,0.1900,0.00,0.1700,0.1600
1782863220,0.1900,0.1900,0.00,0.1600,0.1500
1782863340,0.1600,0.1600,1.00,0.1600,0.1500
1782863400,0.2100,0.2010,272.00,0.2800,0.1900
1782863460,0.1800,0.1800,750.00,0.1900,0.1800
1782863520,0.1800,0.1800,0.00,0.2300,0.1900
1782863580,0.1800,0.1800,0.00,0.1900,0.1800
1782863640,0.1800,0.1800,250.00,0.1800,0.1600
1782863700,0.1700,0.1700,12.26,0.1800,0.1600
1782863760,0.1700,0.1700,0.00,0.1900,0.1700
1782863820,0.1700,0.1700,0.00,0.1900,0.1700
1782863880,0.1700,0.1700,0.00,0.4400,0.1600
1782863940,0.1600,0.1600,13.00,0.1600,0.1500
1782864000,0.1600,0.1600,0.00,0.1600,0.1500
1782864060,0.1500,0.1500,1.00,0.1500,0.1300
1782864120,0.1500,0.1500,0.00,0.1400,0.1300
1782864180,0.1500,0.1500,0.00,0.1400,0.1300
1782864240,0.1200,0.1200,111.00,0.1200,0.1100
1782864300,0.1200,0.1200,0.00,0.1200,0.1100
1782864360,0.1200,0.1200,0.00,0.1200,0.1100
1782864420,0.1200,0.1200,0.00,0.1200,0.1100
1782864480,0.1100,0.1100,228.00,0.1200,0.1000
1782864540,0.1100,0.1100,0.00,0.1400,0.0900
1782864600,0.1100,0.1100,0.00,0.1300,0.1200
1782864660,0.1300,0.1300,13.00,0.1600,0.1500
1782864720,0.2300,0.2300,21.00,0.2400,0.2300
1782864780,0.2300,0.2300,1.00,0.3300,0.2900
1782864840,0.2300,0.2300,0.00,0.4100,0.3700
1782864900,0.4500,0.5156,353.00,0.4600,0.4500
1782864960,0.4500,0.4500,5.00,0.4500,0.4400
1782865020,0.4400,0.4400,100.00,0.4500,0.4400
1782865080,0.4800,0.4610,153.00,0.5800,0.2700
1782865140,0.5400,0.5397,8960.15,0.5400,0.5300
1782865200,0.4700,0.5428,5184.01,0.4700,0.4600
1782865260,0.4800,0.4708,650.00,0.4800,0.4700
1782865320,0.5200,0.5200,31.98,0.5200,0.5100
1782865380,0.5100,0.5100,47.39,0.5100,0.5000
1782865440,0.4800,0.4843,458.00,0.4800,0.4700
1782865500,0.4600,0.4600,30.42,0.4600,0.4500
1782865560,0.4600,0.4509,386.03,0.4600,0.4500
1782865620,0.4600,0.4600,0.00,0.4600,0.4500
1782865680,0.4400,0.4400,122.06,0.4400,0.4300
1782865740,0.4400,0.4400,0.00,0.5000,0.4800
