end_time,inning,half,event_type,event,rbi,away_score,home_score,is_scoring
2026-07-01T01:43:56.386Z,1,top,field_out,Groundout,0,0,0,false
2026-07-01T01:45:59.541Z,1,top,strikeout,Strikeout,0,0,0,false
2026-07-01T01:47:34.614Z,1,top,single,Single,0,0,0,false
2026-07-01T01:48:44.920Z,1,top,strikeout,Strikeout,0,0,0,false
2026-07-01T01:52:11.754Z,1,bottom,field_out,Lineout,0,0,0,false
2026-07-01T01:52:47.178Z,1,bottom,single,Single,0,0,0,false
2026-07-01T01:56:09.804Z,1,bottom,walk,Walk,0,0,0,false
2026-07-01T01:58:47.334Z,1,bottom,strikeout,Strikeout,0,0,0,false
2026-07-01T02:00:40.533Z,1,bottom,strikeout,Strikeout,0,0,0,false
2026-07-01T02:03:53.570Z,2,top,single,Single,0,0,0,false
2026-07-01T02:05:29.578Z,2,top,field_out,Groundout,0,0,0,false
2026-07-01T02:06:27.629Z,2,top,field_out,Flyout,0,0,0,false
2026-07-01T02:07:51.754Z,2,top,strikeout,Strikeout,0,0,0,false
2026-07-01T02:11:08.691Z,2,bottom,strikeout,Strikeout,0,0,0,false
2026-07-01T02:12:51.092Z,2,bottom,single,Single,0,0,0,false
2026-07-01T02:14:08.503Z,2,bottom,strikeout,Strikeout,0,0,0,false
2026-07-01T02:16:38.689Z,2,bottom,strikeout,Strikeout,0,0,0,false
2026-07-01T02:19:18.926Z,3,top,field_out,Flyout,0,0,0,false
2026-07-01T02:24:08.326Z,3,top,strikeout,Strikeout,0,0,0,false
2026-07-01T02:26:41.167Z,3,top,strikeout,Strikeout,0,0,0,false
2026-07-01T02:32:26.142Z,3,bottom,strikeout,Strikeout,0,0,0,false
2026-07-01T02:32:58.167Z,3,bottom,field_out,Groundout,0,0,0,false
2026-07-01T02:33:43.726Z,3,bottom,field_out,Groundout,0,0,0,false
2026-07-01T02:36:05.400Z,4,top,field_out,Flyout,0,0,0,false
2026-07-01T02:38:11.745Z,4,top,field_out,Flyout,0,0,0,false
2026-07-01T02:39:27.037Z,4,top,field_out,Groundout,0,0,0,false
2026-07-01T02:43:19.793Z,4,bottom,strikeout,Strikeout,0,0,0,false
2026-07-01T02:44:40.657Z,4,bottom,field_out,Pop Out,0,0,0,false
2026-07-01T02:45:18.213Z,4,bottom,field_out,Groundout,0,0,0,false
2026-07-01T02:48:38.180Z,5,top,field_error,Field Error,0,0,0,false
2026-07-01T02:51:36.047Z,5,top,walk,Walk,0,0,0,false
2026-07-01T02:52:41.443Z,5,top,force_out,Forceout,0,0,0,false
2026-07-01T02:55:17.123Z,5,top,field_out,Lineout,0,0,0,false
2026-07-01T02:56:43.811Z,5,top,field_out,Groundout,0,0,0,false
2026-07-01T02:59:17.556Z,5,bottom,single,Single,0,0,0,false
2026-07-01T03:01:34.680Z,5,bottom,field_out,Flyout,0,0,0,false
2026-07-01T03:02:51.377Z,5,bottom,strikeout,Strikeout,0,0,0,false
2026-07-01T03:06:05.112Z,5,bottom,strikeout,Strikeout,0,0,0,false
2026-07-01T03:09:52.834Z,6,top,field_out,Groundout,0,0,0,false
2026-07-01T03:11:31.399Z,6,top,field_out,Groundout,0,0,0,false
2026-07-01T03:12:56.034Z,6,top,field_out,Lineout,0,0,0,false
