end_time,inning,half,event_type,event,rbi,away_score,home_score,is_scoring
2026-06-30T23:42:43.508Z,1,top,field_out,Lineout,0,0,0,false
2026-06-30T23:44:34.729Z,1,top,walk,Walk,0,0,0,false
2026-06-30T23:45:23.958Z,1,top,field_out,Flyout,0,0,0,false
2026-06-30T23:46:37.200Z,1,top,field_out,Groundout,0,0,0,false
2026-06-30T23:49:30.443Z,1,bottom,home_run,Home Run,1,0,1,true
2026-06-30T23:50:03.932Z,1,bottom,single,Single,0,0,1,false
2026-06-30T23:50:33.965Z,1,bottom,grounded_into_double_play,Grounded Into DP,0,0,1,false
2026-06-30T23:51:57.229Z,1,bottom,strikeout,Strikeout,0,0,1,false
2026-06-30T23:55:15.463Z,2,top,walk,Walk,0,0,1,false
2026-06-30T23:55:50.360Z,2,top,sac_bunt,Sac Bunt,0,0,1,false
2026-06-30T23:57:57.478Z,2,top,field_out,Groundout,0,0,1,false
2026-07-01T00:00:21.154Z,2,top,field_out,Lineout,0,0,1,false
2026-07-01T00:03:14.930Z,2,bottom,field_out,Groundout,0,0,1,false
2026-07-01T00:04:46.982Z,2,bottom,strikeout,Strikeout,0,0,1,false
2026-07-01T00:05:33.400Z,2,bottom,field_out,Groundout,0,0,1,false
2026-07-01T00:07:58.711Z,3,top,single,Single,0,0,1,false
2026-07-01T00:10:24.155Z,3,top,walk,Walk,0,0,1,false
2026-07-01T00:11:30.511Z,3,top,single,Single,1,1,1,true
2026-07-01T00:12:57.563Z,3,top,home_run,Home Run,3,4,1,true
2026-07-01T00:13:51.656Z,3,top,home_run,Home Run,1,5,1,true
2026-07-01T00:14:53.663Z,3,top,single,Single,0,5,1,false
2026-07-01T00:17:59.462Z,3,top,single,Single,0,5,1,false
2026-07-01T00:21:30.058Z,3,top,single,Single,1,6,1,true
2026-07-01T00:23:10.107Z,3,top,force_out,Forceout,0,6,1,false
2026-07-01T00:24:27.290Z,3,top,field_out,Flyout,0,6,1,false
2026-07-01T00:27:39.590Z,3,bottom,field_out,Flyout,0,6,1,false
2026-07-01T00:28:49.425Z,3,bottom,double,Double,0,6,1,false
2026-07-01T00:30:39.812Z,3,bottom,field_out,Flyout,0,6,1,false
2026-07-01T00:33:02.952Z,3,bottom,home_run,Home Run,2,6,3,true
2026-07-01T00:34:19.153Z,3,bottom,strikeout,Strikeout,0,6,3,false
2026-07-01T00:37:51.616Z,4,top,single,Single,0,6,3,false
2026-07-01T00:38:59.306Z,4,top,field_out,Flyout,0,6,3,false
2026-07-01T00:41:54.875Z,4,top,single,Single,0,6,3,false
2026-07-01T00:44:39.382Z,4,top,hit_by_pitch,Hit By Pitch,0,6,3,false
2026-07-01T00:46:08.063Z,4,top,force_out,Forceout,0,6,3,false
2026-07-01T00:48:32.024Z,4,bottom,double,Double,0,6,3,false
2026-07-01T00:49:28.740Z,4,bottom,field_out,Lineout,0,6,3,false
2026-07-01T00:51:18.259Z,4,bottom,field_out,Lineout,0,6,3,false
2026-07-01T00:54:23.375Z,4,bottom,strikeout,Strikeout,0,6,3,false
